combination,features
Comb1,"CCS, CDR, CHIRPS, ERA5, GSMAP_GAUGE, GSMAP_MVK, IMERG, PDIR, PERSIANN"
Comb1_land,"CCS, CDR, CHIRPS, ERA5, GSMAP_GAUGE, GSMAP_MVK, IMERG, PDIR, PERSIANN, DEM, NDVI, LST_DAY, DIST_SEA"
Comb2,"CHIRPS, CDR, PERSIANN, ERA5"
Comb2_land,"CHIRPS, CDR, PERSIANN, ERA5, DEM, NDVI, LST_DAY, DIST_SEA"
Comb3,"CCS, PDIR"
Comb3_land,"CCS, PDIR, DEM, NDVI, LST_DAY, DIST_SEA"
CCS_land,"CCS, DEM, NDVI, LST_DAY, DIST_SEA"
CDR_land,"CDR, DEM, NDVI, LST_DAY, DIST_SEA"
CHIRPS_land,"CHIRPS, DEM, NDVI, LST_DAY, DIST_SEA"
ERA5_land,"ERA5, DEM, NDVI, LST_DAY, DIST_SEA"
GSMAP_GAUGE_land,"GSMAP_GAUGE, DEM, NDVI, LST_DAY, DIST_SEA"
GSMAP_MVK_land,"GSMAP_MVK, DEM, NDVI, LST_DAY, DIST_SEA"
IMERG_land,"IMERG, DEM, NDVI, LST_DAY, DIST_SEA"
PDIR_land,"PDIR, DEM, NDVI, LST_DAY, DIST_SEA"
PERSIANN_land,"PERSIANN, DEM, NDVI, LST_DAY, DIST_SEA"
